,No.,Code,Name,Prev.,Close,Change,%
0,1.0,AALI,Astra Agro Lestari Tbk.,9375,9125,-250,-2.67%
1,2.0,ABBA,Mahaka Media Tbk.,210,216,6,2.86%
2,3.0,ABBA-R,Right VI Mahaka Media Tbk,0,0,0,0.00%
3,4.0,ABDA,Asuransi Bina Dana Arta Tbk.,6150,0,0,0.00%
4,5.0,ABMM,ABM Investama Tbk.,2350,2240,-110,-4.68%
5,6.0,ACES,Ace Hardware Indonesia Tbk.,770,750,-20,-2.60%
6,7.0,ACST,Acset Indonusa Tbk.,159,158,-1,-0.63%
7,8.0,ACST-R,Right II ACSET Indonusa Tbk,0,0,0,0.00%
8,9.0,ADCP,Adhi Commuter Properti Tbk.,75,76,1,1.33%
9,10.0,ADES,Akasha Wira International Tbk.,6325,6250,-75,-1.19%
10,11.0,ADHI,Adhi Karya (Persero) Tbk.,720,720,0,0.00%
11,12.0,ADMF,Adira Dinamika Multi Finance Tbk.,7975,7950,-25,-0.31%
12,13.0,ADMG,Polychem Indonesia Tbk,170,172,2,1.18%
13,14.0,ADMR,Adaro Minerals Indonesia Tbk.,1665,1600,-65,-3.90%
14,15.0,ADRO,Adaro Energy Indonesia Tbk.,2920,2930,10,0.34%
15,16.0,AGAR,Asia Sejahtera Mina Tbk.,286,296,10,3.50%
16,17.0,AGII,Aneka Gas Industri Tbk.,2180,2190,10,0.46%
17,18.0,AGRO,Bank Raya Indonesia Tbk.,785,735,-50,-6.37%
18,19.0,AGRO-R,Right IV Bank Rakyat Indonesia Agroniaga,0,0,0,0.00%
19,20.0,AGRS,Bank IBK Indonesia Tbk.,123,118,-5,-4.07%
20,21.0,AGRS-R,Right III Bank IBK Indonesia Tbk,0,0,0,0.00%
21,22.0,AHAP,Asuransi Harta Aman Pratama Tbk.,61,59,-2,-3.28%
22,23.0,AIMS,Akbar Indo Makmur Stimec Tbk,250,250,0,0.00%
23,24.0,AIMS-W,Warrant Seri I Akbar Indo M.S.,0,0,0,0.00%
24,25.0,AISA,FKS Food Sejahtera Tbk.,142,141,-1,-0.70%
25,26.0,AISA-R,Right II Tiga Pilar Sejahtera Food Tbk,0,0,0,0.00%
26,27.0,AKKU,Anugerah Kagum Karya Utama Tbk.,50,50,0,0.00%
27,28.0,AKPI,Argha Karya Prima Industry Tbk.,1380,1395,15,1.09%
28,29.0,AKRA,AKR Corporindo Tbk.,1065,1050,-15,-1.41%
29,30.0,AKSI,Mineral Sumberdaya Mandiri Tbk.,274,272,-2,-0.73%
30,31.0,ALDO,Alkindo Naratama Tbk.,845,850,5,0.59%
